"run","randomSeed","device_timeout","player_count","slender_running_speed","slender_radius","player_big_radius","player_speed","player_small_radius","slender_walking_speed"
110,1616830694,50,8,0.8,1,8,3,1,0.3
112,1616830707,50,8,0.8,1,8,3,3,0.3
114,1616830783,50,8,0.8,5,5,1,1,0.3
116,1616830818,50,8,0.8,5,5,1,3,0.3
118,1616830901,50,8,0.8,5,5,3,1,0.3
120,1616830932,50,8,0.8,5,5,3,3,0.3
122,1616830965,50,8,0.8,5,8,1,1,0.3
124,1616831038,50,8,0.8,5,8,1,3,0.3
126,1616831228,50,8,0.8,5,8,3,1,0.3
128,1616831246,50,8,0.8,5,8,3,3,0.3
